cell_id,centroid_lat,centroid_lon,suitability_score,rank,confidence,contrib_wind_speed,contrib_dist_transmission_km,contrib_demand_proxy,contrib_dist_substation_km,contrib_slope_deg,contrib_inside_rez
S28.186_E144.936,-28.18625,144.93625000000003,,,medium,,,,,,
S28.186_E144.986,-28.18625,144.98625,,,medium,,,,,,
S28.186_E145.036,-28.18625,145.03625000000002,,,medium,,,,,,
S28.186_E145.086,-28.18625,145.08625000000004,,,medium,,,,,,
S28.186_E145.136,-28.18625,145.13625000000002,,,medium,,,,,,
S28.186_E145.186,-28.18625,145.18625000000003,,,medium,,,,,,
S28.186_E145.236,-28.18625,145.23625,,,medium,,,,,,
S28.186_E145.286,-28.18625,145.28625000000002,,,medium,,,,,,
S28.186_E145.336,-28.18625,145.33625000000004,,,medium,,,,,,
S28.186_E145.386,-28.18625,145.38625000000002,,,medium,,,,,,
S28.186_E145.436,-28.18625,145.43625000000003,,,medium,,,,,,
S28.186_E145.486,-28.18625,145.48625,,,medium,,,,,,
S28.186_E145.536,-28.18625,145.53625000000002,,,medium,,,,,,
S28.186_E145.586,-28.18625,145.58625000000004,,,medium,,,,,,
S28.186_E145.636,-28.18625,145.63625000000002,,,medium,,,,,,
S28.186_E145.686,-28.18625,145.68625000000003,,,medium,,,,,,
S28.186_E145.736,-28.18625,145.73625,,,medium,,,,,,
S28.186_E145.786,-28.18625,145.78625000000002,,,medium,,,,,,
S28.186_E145.836,-28.18625,145.83625000000004,,,medium,,,,,,
S28.186_E145.886,-28.18625,145.88625000000002,,,medium,,,,,,
S28.186_E145.936,-28.18625,145.93625000000003,,,medium,,,,,,
S28.186_E145.986,-28.18625,145.98625,,,medium,,,,,,
S28.186_E146.036,-28.18625,146.03625000000002,,,medium,,,,,,
S28.186_E146.086,-28.18625,146.08625000000004,,,medium,,,,,,
S28.186_E146.136,-28.18625,146.13625000000002,,,medium,,,,,,
S28.186_E146.186,-28.18625,146.18625000000003,,,medium,,,,,,
S28.186_E146.236,-28.18625,146.23625,,,medium,,,,,,
S28.186_E146.286,-28.18625,146.28625000000002,,,medium,,,,,,
S28.186_E146.336,-28.18625,146.33625000000004,,,medium,,,,,,
S28.186_E146.386,-28.18625,146.38625000000002,,,medium,,,,,,
S28.186_E146.436,-28.18625,146.43625000000003,,,medium,,,,,,
S28.186_E146.486,-28.18625,146.48625,,,medium,,,,,,
S28.186_E146.536,-28.18625,146.53625000000002,,,medium,,,,,,
S28.186_E146.586,-28.18625,146.58625000000004,,,medium,,,,,,
S28.186_E146.636,-28.18625,146.63625000000002,,,medium,,,,,,
S28.186_E146.686,-28.18625,146.68625000000003,,,medium,,,,,,
S28.186_E146.736,-28.18625,146.73625,,,medium,,,,,,
S28.186_E146.786,-28.18625,146.78625000000002,,,medium,,,,,,
S28.186_E146.836,-28.18625,146.83625000000004,,,medium,,,,,,
S28.186_E146.886,-28.18625,146.88625000000002,,,medium,,,,,,
S28.186_E146.936,-28.18625,146.93625000000003,,,medium,,,,,,
S28.186_E146.986,-28.18625,146.98625,,,medium,,,,,,
S28.186_E147.036,-28.18625,147.03625000000002,,,medium,,,,,,
S28.186_E147.086,-28.18625,147.08625000000004,,,medium,,,,,,
S28.186_E147.136,-28.18625,147.13625000000002,,,medium,,,,,,
S28.186_E147.186,-28.18625,147.18625000000003,,,medium,,,,,,
S28.186_E147.236,-28.18625,147.23625,,,medium,,,,,,
S28.186_E147.286,-28.18625,147.28625000000002,,,medium,,,,,,
S28.186_E147.336,-28.18625,147.33625000000004,,,medium,,,,,,
S28.186_E147.386,-28.18625,147.38625000000002,,,medium,,,,,,
S28.186_E147.436,-28.18625,147.43625000000003,,,medium,,,,,,
S28.186_E147.486,-28.18625,147.48625,,,medium,,,,,,
S28.186_E147.536,-28.18625,147.53625000000002,,,medium,,,,,,
S28.186_E147.586,-28.18625,147.58625000000004,,,medium,,,,,,
S28.186_E147.636,-28.18625,147.63625000000002,,,medium,,,,,,
S28.186_E147.686,-28.18625,147.68625000000003,,,medium,,,,,,
S28.186_E147.736,-28.18625,147.73625,,,medium,,,,,,
S28.186_E147.786,-28.18625,147.78625000000002,,,medium,,,,,,
S28.186_E147.836,-28.18625,147.83625000000004,,,medium,,,,,,
S28.186_E147.886,-28.18625,147.88625000000002,,,medium,,,,,,
S28.186_E147.936,-28.18625,147.93625000000003,,,medium,,,,,,
S28.186_E147.986,-28.18625,147.98625,,,medium,,,,,,
S28.186_E148.036,-28.18625,148.03625000000002,,,medium,,,,,,
S28.186_E148.086,-28.18625,148.08625000000004,,,medium,,,,,,
S28.186_E148.136,-28.18625,148.13625000000002,,,medium,,,,,,
S28.186_E148.186,-28.18625,148.18625000000003,,,medium,,,,,,
S28.186_E148.236,-28.18625,148.23625,,,medium,,,,,,
S28.186_E148.286,-28.18625,148.28625000000002,,,medium,,,,,,
S28.186_E148.336,-28.18625,148.33625000000004,,,medium,,,,,,
S28.186_E148.386,-28.18625,148.38625000000002,,,medium,,,,,,
S28.186_E148.436,-28.18625,148.43625000000003,,,medium,,,,,,
