REGIONID,MEAN_DEMAND_MW,MAX_DEMAND_MW,MIN_DEMAND_MW,STD_DEMAND_MW,SUMMER_MEAN_MW,WINTER_MEAN_MW,START_DATE,END_DATE
NSW1,7565.6,13204,2848,1525.8,7491.9,8566.7,2025-07-01,2026-06-30
QLD1,6207.4,10504,2790,1137.6,6644.8,5994.1,2025-07-01,2026-06-30
SA1,1324.4,3124,-263,466.2,1299.5,1568.1,2025-07-01,2026-06-30
TAS1,1073.8,1575,678,140.6,980.5,1198.1,2025-07-01,2026-06-30
VIC1,5134.3,10736,312,1149.0,4692.5,6021.2,2025-07-01,2026-06-30
