cell_id,centroid_lat,centroid_lon,area_km2,wind_speed,wind_confidence,demand_proxy,source_region,demand_confidence,dist_transmission_km,dist_substation_km,dist_connection_km,inside_rez,rez_name,infra_confidence,elevation_m,slope_deg,tri,land_use,protected_area,protected_area_name,geo_confidence,eligible,exclusion_reason,triggered_rules,data_flags,n_missing_features
S28.186_E141.936,-28.18625,141.93625000000003,27.20475910480399,6.760627118349075,valid,1.0,QLD1,high,410.77762045560434,410.77762045560434,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E141.986,-28.18625,141.98625,27.204759104817086,6.8508879554271696,valid,1.0,QLD1,high,411.54413593236217,411.54413593236217,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.036,-28.18625,142.03625000000002,27.204759104804168,6.934309405088425,valid,1.0,QLD1,high,412.36440378238973,412.36440378238973,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.086,-28.18625,142.08625000000004,27.20475910481884,7.026059070825577,valid,1.0,QLD1,high,413.23810378899367,413.23810378899367,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.136,-28.18625,142.13625000000002,27.204759104804577,7.184025126695633,valid,1.0,QLD1,high,414.16489766610897,414.16489766610897,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.186,-28.18625,142.18625000000003,27.20475910481642,7.289120246171951,valid,1.0,QLD1,high,415.1444296823904,415.1444296823904,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.236,-28.18625,142.23625,27.20475910480275,7.242901675701141,valid,1.0,QLD1,high,416.1763273076818,416.1763273076818,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.286,-28.18625,142.28625000000002,27.204759104815995,7.140477730035782,valid,1.0,QLD1,high,412.68035857933023,412.70493132562206,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.336,-28.18625,142.33625000000004,27.20475910480435,7.111812152862549,valid,1.0,QLD1,high,408.5768211361039,408.6009261423529,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.386,-28.18625,142.38625000000002,27.204759104818425,7.13268021941185,valid,1.0,QLD1,high,404.4887800044899,404.5124071089724,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
