name,longitude,latitude,status,capacity_mw,units,locality,state,spatial_confidence,source_date
White Rock Wind Farm,151.54436,-29.76217,Operational,,,SWAN VALE,NSW,5,
Sapphire Wind Farm,151.41195,-29.69971,Operational,270,,KINGSLAND,NSW,5,
